Fire Year,Predicted Smoke Estimates,Lower Estimate Bound,Upper Estimate Bound,Calculated Smoke Estimates
1963,0.01926515952932584,0.011099424996387042,0.02743089406226464,0.0059476705255793
1964,0.019280429970380087,0.011326730314017472,0.027234129626742702,0.021118602877195
1965,0.01929570041143433,0.011551959506185056,0.027039441316683604,0.0072901688170772
1966,0.019310970852488576,0.011774939044271904,0.02684700266070525,0.0225437615744448
1967,0.019326241293542823,0.0119954777013861,0.026657004885699546,0.0213741436265438
1968,0.01934151173459707,0.012213364605325523,0.026469658863868616,0.0202048335019056
1969,0.019356782175651316,0.012428367106401474,0.026285197244901158,0.01176462951922
1970,0.019372052616705562,0.01264022846051365,0.026103876772897473,0.0480752536717976
1971,0.01938732305775981,0.01284866533688283,0.025925980778636788,0.0138254361262262
1972,0.019402593498814055,0.013053365172907526,0.025751821824720585,0.0131520437839854
1973,0.019417863939868298,0.013253983416933252,0.025581744462803344,0.0207879865616493
1974,0.019433134380922545,0.01345014072470355,0.02541612803714154,0.0122624752119034
1975,0.01944840482197679,0.013641420208383437,0.025255389435570146,0.0238205099711576
1976,0.019463675263031038,0.01382736487967938,0.025099985646382696,0.013401106541128
1977,0.019478945704085284,0.014007475481625876,0.024950415926544692,0.0189482843601718
1978,0.01949421614513953,0.014181208966915812,0.02480722332336325,0.0081925845889094
1979,0.019509486586193777,0.014347977952153913,0.02467099522023364,0.021714307185446
1980,0.019524757027248024,0.014507151551974597,0.02454236250252145,0.0232653316979907
1981,0.019540027468302267,0.014658058065025122,0.02442199687157941,0.0696253461732075
1982,0.019555297909356513,0.014799990030113674,0.02431060578859935,0.0313272084802987
1983,0.01957056835041076,0.014932212173804828,0.02420892452701669,0.0140205175158677
1984,0.019585838791465006,0.01505397270357778,0.024117704879352234,0.015836095623546
1985,0.019601109232519252,0.01516451823504826,0.024037700229990244,0.0186567720386921
1986,0.0196163796735735,0.015263112355575032,0.023969646991571968,0.013512926815153
1987,0.019631650114627745,0.015349057415353043,0.023914242813902448,0.0164459581237817
1988,0.019646920555681992,0.015421718627179294,0.023872122484184688,0.0171074480954316
1989,0.019662190996736235,0.015480549014430793,0.023843832979041676,0.0058587867645804
1990,0.01967746143779048,0.015525113280115074,0.02382980959546589,0.0079021518210325
1991,0.019692731878844728,0.01555510840639876,0.023830355351290695,0.0028383826413898
1992,0.019708002319898974,0.015570378847453006,0.023845625792344942,0.0074014586728513
1993,0.01972327276095322,0.015570924603277813,0.023875620918628628,0.0231784564922749
1994,0.019738543202007467,0.015556901219702025,0.02392018518431291,0.021292867337265
1995,0.019753813643061714,0.015528611714559016,0.023979015571564413,0.019931647279318
1996,0.01976908408411596,0.015486491384841258,0.024051676783390662,0.0294444249816918
1997,0.019784354525170203,0.015431087207171736,0.024137621843168672,0.011985785395376
1998,0.01979962496622445,0.015363033968753458,0.02423621596369544,0.0093786067707979
1999,0.019814895407278696,0.01528302931939147,0.024346761495165924,0.0306422419626687
2000,0.019830165848332942,0.015191809671727011,0.024468522024938873,0.0282086459339261
2001,0.01984543628938719,0.01509012841014435,0.024600744168630027,0.0091168504222828
2002,0.019860706730441435,0.014978737327164291,0.02474267613371858,0.0293269675912928
2003,0.019875977171495682,0.014858371696222256,0.024893582646769108,0.0184659891452828
2004,0.019891247612549928,0.014729738978510064,0.025052756246589793,0.0124476967720786
2005,0.01990651805360417,0.014593510875380453,0.02521952523182789,0.0919689528567614
2006,0.019921788494658418,0.01445031827219901,0.025393258717117825,0.0375159786774807
2007,0.019937058935712664,0.014300748552361006,0.025573369319064322,0.0235422670228423
2008,0.01995232937676691,0.014145344763173556,0.025759313990360265,0.0096438009790792
2009,0.019967599817821157,0.013984606161602162,0.025950593474040152,0.0085266350684141
2010,0.019982870258875404,0.013818989735940358,0.02614675078181045,0.0054494781522182
2011,0.01999814069992965,0.01364891237402312,0.02634736902583618,0.0095260080117995
2012,0.020013411140983896,0.013474753420106917,0.026552068861860876,0.0189708463709524
2013,0.02002868158203814,0.013296857425846227,0.02676050573823005,0.0549942002486806
2014,0.020043952023092386,0.013115536953842544,0.026972367092342228,0.0067434241375081
2015,0.020059222464146632,0.012931075334875086,0.02718736959341818,0.0092468952476699
2016,0.02007449290520088,0.012743729313044155,0.027405256497357602,0.0099469328583672
2017,0.020089763346255125,0.012553731538038453,0.027625795154471798,0.0162453303270688
2018,0.020105033787309372,0.012361292882060098,0.027848774692558646,0.0130179123771881
2019,0.020120304228363618,0.012166604572001003,0.028074003884726233,0.005800063246027
2020,0.020135574669417865,0.011969840136479067,0.028301309202356663,0.0298402031890909
2021,0.020150845110472108,-0.012441945603784369,0.05274363582472859,
2022,0.020166115551526354,-0.012482805153877657,0.05281503625693036,
2023,0.0201813859925806,-0.01252543450613203,0.052888206491293235,
2024,0.020196656433634847,-0.012569824278597177,0.05296313714586687,
2025,0.020211926874689094,-0.012615964873303982,0.05303981862268217,
2026,0.02022719731574334,-0.01266384648334649,0.05311824111483317,
2027,0.020242467756797587,-0.01271345910002369,0.05319839461361886,
2028,0.020257738197851833,-0.012764792520030408,0.05328026891573408,
2029,0.020273008638906076,-0.012817836352686587,0.05336385363049874,
2030,0.020288279079960322,-0.012872580027194373,0.05344913818711502,
2031,0.02030354952101457,-0.012929012799912945,0.05353611184194208,
2032,0.020318819962068815,-0.012987123761640795,0.053624763685778426,
2033,0.020334090403123062,-0.013046901844895972,0.053715082651142096,
2034,0.02034936084417731,-0.013108335831184495,0.05380705751953911,
2035,0.020364631285231555,-0.013171414358247951,0.05390067692871106,
2036,0.0203799017262858,-0.01323612592728117,0.05399592937985277,
2037,0.020395172167340044,-0.013302458910111569,0.054092803244791654,
2038,0.02041044260839429,-0.013370401556331669,0.054191286773120254,
2039,0.020425713049448537,-0.013439942000377129,0.054291368099274206,
2040,0.020440983490502784,-0.013511068268542346,0.054393035249547916,
2041,0.02045625393155703,-0.013583768285926768,0.05449627614904083,
2042,0.020471524372611277,-0.013658029883304754,0.05460107862852731,
2043,0.020486794813665523,-0.013733840803912604,0.05470743043124365,
2044,0.02050206525471977,-0.013811188710146517,0.05481531921958606,
2045,0.020517335695774012,-0.013890061190165802,0.05492473258171383,
2046,0.02053260613682826,-0.01397044576439585,0.05503565803805237,
2047,0.020547876577882505,-0.014052329891925779,0.05514808304769079,
2048,0.020563147018936752,-0.014135700976796131,0.055261995014669635,
2049,0.020578417459991,-0.01422054637417227,0.05537738129415427,
